username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,,,,,,,
";2020-05-10 15:42;0;1;""Kenyans you cannot impeach president Uhuru Kenyatta on Twitter pic.twitter.com/qiCMweAQ6q"";;;;""1259463830402449409"";https://twitter.com/am_emmanuel001/status/1259463830402449409",,,,,,,,,
";2020-05-10 14:32;0;5;""I need support from KOT to write an official letter to Miguna Miguna on behalf of 200",000 Kenyans who have been blocked, We ask for Forgiveness and Mercy to let Us join his course for revolution. Without viewing his tweets," Twitter has become like a ghost Town. # forgiveusgeneral"";;;#;""1259446147090956294"";https://twitter.com/jamal_omwanda/status/1259446147090956294",,,,,,
";2020-05-10 14:25;0;0;""So staying home means turning a residential court into a garage @hon#Mike Mbuvi Sonko is this fair what happened to the bylaws #Twitter DCI#Kenyans on Twitter # kot"";;@hon;#Mike #Twitter #Kenyans #;""1259444411924205568"";https://twitter.com/honestthought2/status/1259444411924205568",,,,,,,,,
";2020-05-10 14:06;0;1;""He only knows how to ban poor Kenya's young artists work", kenyans who are just trying to make it in life," to make it in kenya where elected MPs shoot their people. Only comes on twitter to praise hypocrates and Murderers!"";;;;""1259439570644602886"";https://twitter.com/KariukiNdaru/status/1259439570644602886",,,,,,,
";2020-05-10 13:31;0;1;""President John Magufuli does not pick my calls - Raila Odinga on his long time friend https://www.pulselive.co.ke/news/president-john-magufuli-does-not-pick-my-calls-raila-odinga-on-his-long-time-friend/3rcwpym … via @ Twitter why are interfering in Tanzania politics", you have already destroyed Kenyan ! should mind your own business, Mangufuli is a clever man," not sacking up to BG"";;@;;""1259430975018274816"";https://twitter.com/obarelida/status/1259430975018274816",,,,,,
";2020-05-10 12:29;57;96;""Active Kenyan on Twitter Where are you???? Drop your username we follow Let's go @ Rdagoah @ _FFollowTricK"";;@ @;;""1259415145631158274"";https://twitter.com/Rdagoah/status/1259415145631158274",,,,,,,,,
";2020-05-10 12:28;0;0;""Kenyan CEOs you should follow on Twitter - https://hapakenya.com/2019/07/23/kenyan-ceos-you-should-follow-on-twitter/ … via @ hapakenya dope list"";;@;;""1259415047983562753"";https://twitter.com/anyikowoko/status/1259415047983562753",,,,,,,,,
";2020-05-10 12:24;0;0;""@ o_abuga is the most useless bot account on Kenyan Twitter!Whoever pays for its services will have to deal with a milestone Kenyan Civil Revolution whether they like it or http://not.No one is here to asslick tyrants burning down our land in their self ish agendas"";;@;;""1259414048225058816"";https://twitter.com/KennethMaqau/status/1259414048225058816",,,,,,,,,
";2020-05-10 12:17;0;0;""One of the biggest car accounts on Twitter really is run by a Kenyan. Love to see it. https://twitter.com/Earlsimxx/status/1259411345251983360 …"";;;;""1259412227783884800"";https://twitter.com/CzarCule/status/1259412227783884800",,,,,,,,,
";2020-05-10 12:02;7;24;""Your mother is on MPesa and not twitter. Send her money and stop posting things here"," she's not even following you. # MothersDay"";;;#;""1259408473328095232"";https://twitter.com/kenyanmemes/status/1259408473328095232",,,,,,,,
